"LoanID","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","Education","EmploymentType","MaritalStatus","HasMortgage","HasDependents","LoanPurpose","HasCoSigner","Default"
"F2E5Z6ZGWE",64,26276,111326,776,119,3,14.17,24,0.35,"PhD","Unemployed","Divorced","No","No","Home","Yes",0
"KVXRBI378Q",44,21009,199509,735,112,4,3.28,60,0.22,"Master's","Part-time","Divorced","Yes","Yes","Auto","Yes",0
"L37L4MP3XU",23,130574,219097,617,107,3,20.82,24,0.81,"Bachelor's","Full-time","Married","No","No","Education","No",0
"P23FKBJGZH",56,119761,139290,650,36,4,7.2,36,0.66,"High School","Full-time","Divorced","Yes","No","Business","Yes",0
"95DRYMC1NI",22,108233,141122,479,80,1,11.35,48,0.2,"Master's","Self-employed","Divorced","Yes","No","Auto","No",0
"U0Z6RZAMVJ",64,75100,198901,627,102,4,3.87,24,0.15,"Master's","Part-time","Married","No","Yes","Business","Yes",0
"TNXQ8EPREL",29,78304,82350,845,5,2,2.8,12,0.41,"PhD","Unemployed","Single","No","No","Business","No",0
"KBV423VV8D",50,23563,91863,615,76,2,10.01,24,0.43,"High School","Self-employed","Divorced","No","No","Auto","Yes",0
"7Y7VP6KH6V",52,17943,32824,641,22,3,17.31,48,0.48,"Master's","Unemployed","Married","Yes","No","Other","Yes",0
"JGTVJBC1GH",30,32479,64451,358,117,1,11.23,48,0.51,"High School","Unemployed","Married","No","Yes","Home","No",0
"LPCA64GA8R",21,24077,106409,639,91,1,5.02,24,0.78,"High School","Part-time","Divorced","Yes","No","Other","Yes",0
"HWVFTKHE0E",37,111676,19867,763,32,1,17.99,24,0.66,"Bachelor's","Unemployed","Single","Yes","Yes","Auto","No",0
"PNMW3NC4NJ",19,97738,235237,436,10,1,15.26,36,0.64,"High School","Full-time","Single","Yes","Yes","Home","No",0
"RGL0LNBV96",66,81131,244971,478,32,2,2.35,48,0.27,"PhD","Part-time","Single","No","No","Auto","Yes",0
"LZXATU8FLO",46,101772,229487,849,25,4,22.36,24,0.21,"High School","Self-employed","Divorced","No","No","Auto","No",0
"5B43VI86XW",66,26153,155315,842,29,2,11.58,48,0.13,"High School","Full-time","Married","No","No","Other","No",0
"10KK12LHNE",53,72221,13087,800,71,2,16.3,36,0.19,"High School","Part-time","Married","Yes","No","Business","Yes",0
"9QZZLIZ3KB",61,60644,180189,764,61,3,4.28,36,0.82,"Master's","Unemployed","Single","No","No","Home","Yes",0
"XOCEBPQFE9",60,61330,94934,418,74,3,19.21,24,0.74,"Master's","Full-time","Divorced","Yes","No","Home","No",0
"LR0IP5B8SN",23,104263,163974,756,14,4,9.04,48,0.36,"Master's","Full-time","Single","No","Yes","Home","Yes",0
"DQKY2WEYS4",28,49943,125237,812,114,3,15.17,24,0.67,"PhD","Unemployed","Single","No","Yes","Business","Yes",0
"6GN86UG823",64,98293,42440,403,17,2,21.48,60,0.64,"High School","Full-time","Single","Yes","No","Education","No",0
"M0VFYBM1NG",54,73323,228941,819,95,1,18.5,60,0.19,"PhD","Part-time","Single","Yes","Yes","Education","No",0
"DR35VU9U9O",34,43425,7653,794,79,2,24.2,48,0.16,"High School","Self-employed","Single","Yes","Yes","Home","Yes",0
"A6JGLVATCT",42,71394,101573,816,116,4,17.76,48,0.17,"PhD","Full-time","Divorced","No","No","Other","No",0
"9EW1Y9LZYV",36,97964,173505,727,67,1,20.95,48,0.75,"Bachelor's","Unemployed","Divorced","No","Yes","Other","No",0
"D1W2AD0H4M",42,51506,144078,419,40,2,10.41,24,0.24,"High School","Unemployed","Married","No","Yes","Home","No",0
"LR0TE4UFFV",51,115917,27378,421,14,1,11.16,48,0.28,"High School","Part-time","Divorced","No","Yes","Education","Yes",0
"MULPMS5U79",32,32083,196283,844,118,1,22.28,48,0.38,"Master's","Unemployed","Single","Yes","Yes","Auto","Yes",0
"MNW3A8AFG1",67,76050,204349,685,115,2,24.12,36,0.69,"PhD","Self-employed","Divorced","No","Yes","Business","Yes",0
"YCUBYWY9Z8",36,58307,233968,843,34,3,9.02,48,0.72,"High School","Unemployed","Single","No","No","Home","No",0
"G0ULJ9C3TQ",19,149356,205842,374,87,3,5.62,36,0.22,"PhD","Part-time","Married","No","Yes","Education","Yes",0
"F4Y6AHCB4U",38,17897,80828,531,2,3,18.06,48,0.47,"PhD","Unemployed","Single","Yes","No","Other","No",0
"SQWGD69G4Q",33,82878,31677,440,72,1,10.85,60,0.71,"High School","Full-time","Divorced","No","Yes","Education","Yes",0
"I076O1FPLO",28,30567,84123,749,31,2,23.37,12,0.72,"Bachelor's","Unemployed","Divorced","Yes","No","Education","Yes",0
"P5ALX1EE13",25,124153,171671,553,56,3,22.31,48,0.89,"PhD","Unemployed","Single","Yes","No","Other","No",0
"Z0OYSWTJ2F",59,122767,6132,440,78,3,18.46,36,0.52,"PhD","Part-time","Single","Yes","Yes","Business","No",0
"I3GUZW155D",48,113592,202751,640,45,1,10.97,48,0.43,"PhD","Unemployed","Divorced","No","Yes","Business","Yes",0
"OVSJBH91HH",69,145355,102596,839,6,3,17.82,12,0.34,"High School","Unemployed","Single","Yes","Yes","Auto","Yes",0
"BRUMA83CEM",32,147240,248550,403,8,2,9.65,36,0.83,"Master's","Unemployed","Divorced","Yes","No","Auto","Yes",0
"LY2U268AGN",22,108842,147613,520,80,4,6.93,60,0.72,"Bachelor's","Full-time","Single","No","No","Auto","No",0
"BLUO575JBG",49,36894,138044,555,24,3,5.46,48,0.73,"Master's","Full-time","Divorced","No","No","Other","No",0
"BMU73CNXFN",44,23382,32252,487,34,4,13.36,36,0.44,"PhD","Part-time","Divorced","No","No","Business","Yes",0
"HQ3LYW4IGS",51,42312,22738,817,29,1,19.25,36,0.7,"PhD","Unemployed","Divorced","No","No","Other","No",0
"ENRKDPBLUC",55,83236,112401,427,3,2,21.18,48,0.11,"High School","Unemployed","Married","Yes","Yes","Home","No",0
"H9H914VN3F",21,85019,137257,493,53,1,20.43,48,0.56,"Bachelor's","Unemployed","Divorced","Yes","No","Other","No",0
"VVHRNKVV0C",53,140150,158166,767,58,3,10.32,24,0.7,"Bachelor's","Full-time","Married","Yes","Yes","Education","No",0
"WKCA8883C1",40,44346,167228,494,25,1,23.27,12,0.38,"High School","Full-time","Single","Yes","Yes","Business","Yes",0
"3E8XJ3JBQC",39,24566,114992,440,55,2,7.4,12,0.61,"Bachelor's","Part-time","Single","No","Yes","Education","Yes",0
"UA548N4XT0",66,127573,70793,630,45,4,21.72,12,0.27,"PhD","Self-employed","Divorced","Yes","No","Education","No",0
"H4DBWL3P94",23,115542,76737,312,35,1,6.49,48,0.17,"Master's","Full-time","Married","Yes","Yes","Business","No",0
"UE629GCIHL",69,28299,155868,800,48,1,20.45,36,0.45,"Master's","Self-employed","Married","Yes","No","Business","No",0
"80UEJPO66X",43,66761,51341,559,105,1,8.72,60,0.77,"Master's","Part-time","Married","Yes","No","Auto","No",0
"KA5885BK8B",61,28345,213426,598,52,4,19.23,12,0.15,"Master's","Self-employed","Divorced","Yes","No","Home","Yes",0
"SZK9LKMUCO",26,55954,195746,504,111,3,16.74,12,0.1,"Bachelor's","Unemployed","Married","No","Yes","Other","No",0
"NW4270EJC2",55,31342,13134,578,66,3,7.8,36,0.48,"High School","Part-time","Married","Yes","Yes","Education","No",0
"S85V7NUMO9",52,140632,156921,457,61,3,19.39,24,0.86,"Bachelor's","Unemployed","Divorced","No","Yes","Other","No",0
"9ME7UKWK4I",55,131290,23628,606,89,2,12.02,36,0.68,"PhD","Part-time","Divorced","Yes","Yes","Home","Yes",0
"YGO0MHH53E",46,115224,17892,438,2,4,22.32,24,0.66,"PhD","Part-time","Divorced","Yes","No","Home","Yes",0
"089FAED3CP",33,130111,126952,808,14,3,23.13,36,0.88,"PhD","Unemployed","Single","No","No","Other","Yes",0
"V2K408W8BM",53,133265,166006,629,52,2,12.83,60,0.64,"Bachelor's","Part-time","Single","Yes","No","Auto","No",0
"YRJA92WL2N",62,36955,140329,401,16,4,18.39,60,0.72,"Master's","Full-time","Single","No","Yes","Business","Yes",0
"VH8T4JYUU3",62,141548,175946,550,31,1,21.72,24,0.32,"Master's","Unemployed","Single","Yes","No","Home","Yes",0
"1JVYZCLPGC",43,79101,57918,491,119,1,19.42,12,0.64,"PhD","Part-time","Divorced","No","Yes","Auto","Yes",0
"NKL3Y69Y4W",20,91049,225431,596,115,4,5.34,24,0.47,"PhD","Unemployed","Married","No","No","Education","Yes",0
"6NT3XQG6XV",51,75264,87318,463,60,1,24.95,60,0.47,"Master's","Self-employed","Married","Yes","No","Education","No",0
"Q6YD3PQIWB",35,25963,99403,823,119,4,4.12,12,0.24,"Bachelor's","Full-time","Divorced","No","Yes","Home","No",0
"PQFXKW5CQK",68,116286,72552,603,67,3,12.02,48,0.83,"Bachelor's","Full-time","Single","Yes","Yes","Business","Yes",0
"D4BQ1ENJYJ",65,31208,144315,610,100,3,8.56,48,0.5,"PhD","Part-time","Divorced","No","Yes","Auto","Yes",0
"0SD77WRM80",38,123009,204684,643,99,3,7.09,36,0.85,"Master's","Full-time","Divorced","Yes","No","Other","Yes",0
"EK9S8D5PKG",30,96161,113531,346,93,1,12.53,60,0.41,"Master's","Part-time","Single","Yes","Yes","Education","No",0
"EOZ40UZQ3A",50,131733,122578,782,24,2,4.16,60,0.35,"Bachelor's","Part-time","Single","No","No","Auto","No",0
"XQSWI99SGO",58,78230,206435,471,23,2,11.15,60,0.23,"High School","Part-time","Single","Yes","Yes","Education","No",0
"B5SDGDDZ1B",45,111830,148288,302,110,3,24.24,60,0.31,"Master's","Full-time","Married","Yes","No","Business","No",0
"E0JHARC04Y",49,149170,94314,800,76,2,9.85,24,0.69,"Bachelor's","Unemployed","Married","Yes","No","Home","Yes",0
"1WYUJAOJT7",25,98377,183923,453,114,1,19.17,60,0.72,"PhD","Part-time","Married","Yes","No","Education","No",0
"7HWS38BMKV",42,120505,167804,350,25,1,3.49,60,0.77,"PhD","Unemployed","Single","No","No","Other","No",0
"7YCDNJUFVB",35,39946,50843,807,4,1,16.92,12,0.25,"Master's","Self-employed","Single","No","No","Home","Yes",0
"MT238S2OHH",20,44861,63873,603,21,3,9.82,12,0.88,"Master's","Full-time","Divorced","No","No","Other","No",0
"Z1LVQMWLCN",52,48735,143502,822,70,1,2.44,12,0.49,"High School","Self-employed","Single","No","No","Other","Yes",0
"GCO6ZMZ30V",37,83717,99678,331,119,1,10.71,24,0.32,"Master's","Unemployed","Divorced","No","No","Home","No",0
"RVKOHIGMSX",65,105674,45180,710,28,4,16.25,12,0.42,"PhD","Part-time","Single","Yes","No","Other","Yes",0
"J4HD4HLR7T",50,106216,41814,351,62,1,5.03,36,0.66,"High School","Full-time","Divorced","Yes","No","Business","Yes",0
"RJVKI8CO14",19,135418,161659,563,107,4,16.96,48,0.88,"PhD","Self-employed","Married","No","Yes","Auto","Yes",0
"TOOU1A0FCX",60,82423,74890,449,27,3,18.57,36,0.77,"High School","Self-employed","Single","No","Yes","Other","Yes",0
"DTB73S61VG",55,119066,133675,312,47,3,24.4,60,0.14,"Master's","Unemployed","Single","No","Yes","Home","No",0
"PJYVIYCE50",35,56409,226700,664,96,3,10.98,60,0.89,"High School","Self-employed","Married","No","Yes","Other","No",0
"OQEK2KRD3I",19,81204,194919,611,118,2,23.5,48,0.16,"Bachelor's","Part-time","Single","No","No","Education","Yes",0
"1J3SPJ5MEI",19,48836,126817,623,119,3,14.7,36,0.69,"Bachelor's","Full-time","Married","No","Yes","Home","No",0
"2RR80BRZOU",31,37334,42454,432,58,2,6.74,60,0.48,"PhD","Self-employed","Divorced","Yes","No","Auto","Yes",0
"VNOSUDIR8E",46,102092,158467,467,0,4,24.97,60,0.42,"High School","Self-employed","Married","No","No","Education","Yes",0
"3ZRD1V9LPC",67,137952,52477,831,51,2,4.82,12,0.24,"PhD","Unemployed","Divorced","Yes","No","Business","No",0
"1ILDEX7ZGQ",54,29169,177445,396,85,4,14.42,48,0.74,"Bachelor's","Self-employed","Married","No","Yes","Home","Yes",0
"Q26U17PJ3F",22,77328,112477,506,32,1,6.52,48,0.48,"PhD","Self-employed","Single","Yes","No","Auto","Yes",0
"A4RC5DW6EC",33,70072,72453,606,29,2,15.88,12,0.49,"High School","Part-time","Divorced","No","Yes","Business","Yes",0
"KZ7BZVQD9Q",56,53172,245006,421,77,4,11.9,12,0.71,"Bachelor's","Unemployed","Divorced","No","Yes","Education","Yes",0
"KY1MOKOUKB",24,40286,94406,359,57,4,12.38,12,0.43,"PhD","Part-time","Divorced","No","Yes","Other","Yes",0
"S332M07DR8",42,40868,239896,776,69,3,17.35,12,0.67,"Bachelor's","Self-employed","Divorced","No","Yes","Auto","No",0
"18D09MBQJP",27,142737,94719,319,83,1,12.23,24,0.2,"Bachelor's","Part-time","Married","Yes","No","Other","No",0
"HRZN3X0KEB",34,36540,154121,703,73,4,11.25,48,0.25,"Bachelor's","Part-time","Divorced","Yes","Yes","Other","Yes",0
"TIVCFVGD1A",50,33924,60186,777,103,4,10.28,24,0.61,"High School","Self-employed","Divorced","Yes","Yes","Education","No",0
"06FXZME4PI",39,40183,29454,834,4,2,15.13,24,0.21,"PhD","Unemployed","Single","Yes","No","Education","Yes",0
"CE0K9EVH7N",28,31052,120524,712,53,4,6.16,60,0.64,"PhD","Self-employed","Married","Yes","Yes","Business","No",0
"2ZCJP2B8RI",30,134298,123297,689,86,4,19.92,24,0.85,"PhD","Unemployed","Married","Yes","No","Business","No",0
"TXTWR0C0UV",22,78968,237588,575,46,2,20.17,24,0.24,"High School","Part-time","Single","Yes","Yes","Business","No",0
"UDX8GNEKZ9",33,46770,70242,608,21,2,22.33,36,0.22,"Master's","Full-time","Single","No","No","Education","Yes",0
"G8LSO6MRJP",61,116326,80744,406,75,4,14.35,60,0.74,"High School","Self-employed","Married","No","No","Auto","Yes",0
"MVR0P9G53E",39,134751,47601,388,24,1,24.08,36,0.5,"Master's","Unemployed","Divorced","Yes","Yes","Business","No",0
"BQ1VJ1PR0T",46,114058,28790,637,83,3,3.58,48,0.21,"Bachelor's","Unemployed","Divorced","Yes","Yes","Business","Yes",0
"V8XMNMKFQX",41,74884,7214,842,43,3,23,48,0.26,"PhD","Self-employed","Single","Yes","No","Home","Yes",0
"DI75CRV35W",58,136411,20483,558,99,1,2.84,24,0.61,"Master's","Part-time","Single","Yes","Yes","Business","Yes",0
"5ESI29M88C",69,138347,196304,379,93,4,22.46,24,0.36,"Master's","Self-employed","Single","Yes","No","Home","No",0
"EOEQ2LDQDG",42,44062,212224,658,93,1,2.87,12,0.53,"Master's","Self-employed","Married","Yes","Yes","Home","No",0
"29M2WQD3YG",24,72468,10851,577,39,3,21.38,12,0.36,"Bachelor's","Part-time","Divorced","No","Yes","Auto","Yes",0
"ZG4TCU2QUG",65,98685,107448,351,97,4,10.67,36,0.1,"PhD","Self-employed","Divorced","No","Yes","Business","Yes",0
"E28B9MFUBV",30,127864,135289,505,81,1,2.3,60,0.59,"Master's","Full-time","Divorced","Yes","No","Other","Yes",0
"8EG730W3UF",48,97413,76978,488,78,2,21.73,48,0.42,"PhD","Part-time","Divorced","No","Yes","Business","No",0
"UJ9CCGIA5N",34,134133,110135,849,71,1,16.99,36,0.62,"Master's","Self-employed","Divorced","Yes","No","Education","No",0
"S7SMIQR0H7",36,111061,181230,362,17,1,20.49,36,0.74,"Master's","Part-time","Divorced","Yes","No","Home","No",0
"DMXSBHRP1X",56,90486,124478,549,59,2,3.72,48,0.23,"Bachelor's","Part-time","Married","No","No","Other","Yes",0
"GGN9QWXQ1R",37,133431,73895,371,12,3,23.97,24,0.15,"Bachelor's","Unemployed","Divorced","No","Yes","Home","Yes",0
"F0JH4OPGOZ",54,114760,14607,656,74,4,20.54,48,0.56,"PhD","Part-time","Divorced","No","No","Education","No",0
"Z6FVF7KZPN",45,68087,56293,610,100,3,15.43,60,0.88,"Master's","Self-employed","Divorced","Yes","Yes","Other","No",0
"I3FFP0JFKC",38,67127,52410,823,103,1,7.18,12,0.16,"Master's","Unemployed","Married","No","Yes","Other","No",0
"JICEUGSJI1",43,49024,109964,336,89,4,18.86,36,0.73,"PhD","Full-time","Single","No","No","Other","Yes",0
"QW34K0RZM9",54,149577,87420,848,114,2,15.08,48,0.56,"PhD","Part-time","Divorced","No","Yes","Education","No",0
"1277RU9PKK",65,126608,84685,332,20,4,21.37,60,0.76,"High School","Full-time","Single","No","No","Auto","No",0
"PAX2FRWCTZ",39,42470,195109,319,52,2,15.6,12,0.54,"PhD","Unemployed","Divorced","No","Yes","Education","Yes",0
"D4BE55KQ65",34,101160,37207,381,57,2,3.59,36,0.36,"High School","Self-employed","Divorced","No","No","Education","No",0
"777XY93B0V",57,82106,131874,849,3,3,9.58,60,0.65,"PhD","Part-time","Married","No","Yes","Business","No",0
"2SRTPZUAEZ",37,123851,107705,723,47,2,14.97,24,0.81,"Master's","Part-time","Single","Yes","No","Auto","Yes",0
"5I9C00CI5K",58,50807,44076,335,108,3,4.58,60,0.51,"High School","Unemployed","Married","Yes","Yes","Auto","Yes",0
"GYSFXVSKNO",40,98549,195345,387,45,3,18.32,48,0.74,"PhD","Unemployed","Divorced","No","Yes","Home","Yes",0
"QM1QBJ34V9",52,138573,52472,645,36,3,5.55,24,0.49,"High School","Self-employed","Divorced","Yes","No","Other","Yes",0
"8HBW7EZR4F",53,97194,193429,377,108,3,23.74,24,0.75,"High School","Self-employed","Single","Yes","Yes","Home","No",0
"FN87DCF6VG",40,22198,53421,582,22,1,20.81,12,0.7,"Master's","Full-time","Married","Yes","No","Education","No",0
"ZP844W29PL",29,54577,27260,735,103,2,10.46,36,0.49,"High School","Part-time","Single","Yes","No","Other","No",0
"LUP037VUPT",44,148992,181286,335,12,2,12.59,48,0.3,"PhD","Unemployed","Divorced","No","Yes","Business","Yes",0
"CHM6DQ4CAY",38,95514,159424,764,15,2,20.27,12,0.58,"High School","Full-time","Married","Yes","No","Business","No",0
"WHHW16RV86",47,61053,159837,606,44,2,3.2,60,0.87,"High School","Self-employed","Divorced","Yes","No","Other","Yes",0
"MCH8Y44NHE",58,90249,42686,348,65,4,5.71,12,0.7,"High School","Self-employed","Divorced","No","Yes","Business","Yes",0
"6SM8O0P0XG",67,51940,85421,615,11,3,22.96,48,0.39,"Bachelor's","Unemployed","Married","No","No","Education","Yes",0
"FDHXRERRS9",29,142107,37713,619,42,1,12.02,60,0.77,"Master's","Part-time","Married","Yes","No","Home","Yes",0
"AGRZZP462E",24,85648,156107,753,29,1,2.75,48,0.8,"Master's","Part-time","Single","Yes","No","Education","No",0
"LH5G1AOFMY",51,120278,101906,469,43,4,3.65,36,0.58,"Bachelor's","Full-time","Single","Yes","No","Auto","No",0
"CEUGAQJJ5K",67,91982,211392,375,48,2,9.88,12,0.68,"PhD","Part-time","Single","No","Yes","Education","Yes",0
"S7MI3W6Y5J",38,107358,124991,818,43,1,15.8,48,0.5,"High School","Full-time","Single","No","Yes","Education","Yes",0
"UT7M2JK72W",54,52668,173686,727,87,1,23.81,36,0.27,"High School","Part-time","Married","No","No","Auto","No",0
"IUTCYX71I9",52,88824,205951,586,83,4,15.87,48,0.57,"High School","Full-time","Single","No","No","Education","Yes",0
"WU520M1GDY",23,111475,106047,307,119,1,24.25,36,0.38,"Master's","Unemployed","Married","No","Yes","Home","No",0
"4A2ON2ZB1V",21,24180,100894,377,72,3,16.89,60,0.27,"Master's","Part-time","Single","No","Yes","Auto","No",0
"5EL776IPGA",30,149336,37538,511,37,1,13.75,60,0.71,"PhD","Self-employed","Married","Yes","No","Other","Yes",0
"UOPB5HCQVR",57,147999,107605,652,20,4,11.65,24,0.61,"High School","Full-time","Single","No","Yes","Education","Yes",0
"5LGHO0NLPR",56,24634,118987,442,53,2,14.05,48,0.3,"PhD","Self-employed","Divorced","No","Yes","Education","No",0
"HWYSQE02BC",23,61720,75109,717,96,1,10.3,24,0.29,"Bachelor's","Full-time","Single","Yes","Yes","Auto","Yes",0
"0RJ63UPWDS",31,53778,152776,373,40,1,20.01,60,0.73,"Bachelor's","Self-employed","Married","Yes","No","Education","Yes",0
"838K8N4QD8",28,65511,31729,331,110,2,2.47,60,0.2,"Bachelor's","Self-employed","Single","Yes","Yes","Home","No",0
"7ZFKKM7DE0",20,39168,210981,405,117,4,3.12,12,0.23,"PhD","Self-employed","Married","Yes","Yes","Education","Yes",0
"R6UPTZBQEU",49,28246,74509,574,61,4,15.46,48,0.5,"PhD","Self-employed","Divorced","No","Yes","Business","Yes",0
"BHFWFYHJ9R",55,127021,243549,463,107,1,2.88,36,0.55,"Master's","Self-employed","Married","No","Yes","Business","Yes",0
"XO632K0CTN",18,109274,201322,763,93,3,8.36,24,0.63,"Master's","Full-time","Divorced","No","Yes","Education","No",0
"WJ0DLULZZ1",24,54552,72943,745,78,3,22.16,48,0.52,"Bachelor's","Unemployed","Single","Yes","Yes","Education","No",0
"7DAAG3BU48",22,141157,81995,415,101,1,6.91,24,0.57,"PhD","Self-employed","Single","No","No","Education","No",0
"QJDQTZ9PIW",31,57817,169559,757,25,3,10.84,48,0.51,"Bachelor's","Part-time","Divorced","No","Yes","Business","No",0
"6XNRIRXGPG",55,141083,82747,666,46,3,14.83,36,0.39,"PhD","Part-time","Single","Yes","Yes","Other","Yes",0
"SEYHRMCUP2",21,124335,228890,422,71,3,3.97,12,0.24,"Master's","Part-time","Single","Yes","No","Business","No",0
"37VK3ST6K4",40,32786,249626,569,86,3,15.45,24,0.7,"Master's","Self-employed","Single","Yes","No","Other","No",0
"E4T341FST3",67,94942,149992,620,105,3,6.89,36,0.69,"PhD","Self-employed","Married","Yes","No","Education","No",0
"ICJHINNJXT",25,29782,223983,691,16,1,12.35,24,0.64,"Bachelor's","Part-time","Married","Yes","Yes","Education","No",0
"8TXQOHA1UU",23,31857,122598,304,33,3,13.26,36,0.82,"Master's","Self-employed","Married","Yes","Yes","Other","Yes",0
"VYE53UFIZ0",38,108968,101597,333,13,2,18.17,48,0.74,"PhD","Unemployed","Divorced","No","Yes","Education","No",0
